cluster,Cardiovascular / Pulmonary,ENT - Otolaryngology,Gastroenterology,Hematology - Oncology,Nephrology,Neurology,Neurosurgery,Obstetrics / Gynecology,Ophthalmology,Orthopedic,Pediatrics - Neonatal,Psychiatry / Psychology,Radiology
0,0.0,0.0,0.0,0.0,0.0,0.024096385542168676,0.46987951807228917,0.0,0.0,0.5060240963855421,0.0,0.0,0.0
1,0.5415162454873647,0.0,0.09025270758122744,0.09025270758122744,0.10469314079422383,0.036101083032490974,0.0,0.02888086642599278,0.0,0.036101083032490974,0.0,0.07220216606498195,0.0
2,0.03125,0.0,0.265625,0.0078125,0.0390625,0.0,0.0,0.65625,0.0,0.0,0.0,0.0,0.0
3,0.43349753694581283,0.11330049261083744,0.059113300492610835,0.07142857142857142,0.027093596059113302,0.046798029556650245,0.10098522167487685,0.03201970443349754,0.024630541871921183,0.09113300492610837,0.0,0.0,0.0
4,0.015151515151515152,0.0,0.0,0.0,0.0,0.6439393939393939,0.0,0.0,0.0,0.12878787878787878,0.0,0.0,0.21212121212121213
5,0.1016260162601626,0.024390243902439025,0.09959349593495935,0.12195121951219512,0.018292682926829267,0.24796747967479674,0.01016260162601626,0.07113821138211382,0.03048780487804878,0.16869918699186992,0.008130081300813009,0.09349593495934959,0.0040650406504065045
6,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
7,0.01593625498007968,0.0,0.0,0.00796812749003984,0.0,0.02390438247011952,0.08764940239043825,0.0,0.16334661354581673,0.701195219123506,0.0,0.0,0.0
8,0.14925373134328357,0.007462686567164179,0.13432835820895522,0.007462686567164179,0.08208955223880597,0.23880597014925373,0.0,0.03731343283582089,0.0,0.31343283582089554,0.0,0.0,0.029850746268656716
9,0.9761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023809523809523808
10,0.9341317365269461,0.0,0.005988023952095809,0.0,0.011976047904191617,0.017964071856287425,0.005988023952095809,0.0,0.0,0.0,0.0,0.0,0.023952095808383235
11,0.1111111111111111,0.11728395061728394,0.043209876543209874,0.012345679012345678,0.024691358024691357,0.018518518518518517,0.006172839506172839,0.22839506172839505,0.0,0.006172839506172839,0.37037037037037035,0.012345679012345678,0.04938271604938271
12,0.3888888888888889,0.018518518518518517,0.5925925925925926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
